listing_id,price,referans_fiyat,xgb_predicted,predicted_price,price_gap,etiket,guven,knn_mod,district,neighborhood,gross_sqm,total_rooms,building_age,floor,total_floors,floor_ratio,is_in_complex,knn_mesafe
166547-23,4350000,6312500.0,4438406.5,5375453.25,-0.1907659135534292,Adil fiyat,0.41,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,80.0,2,0,7.0,15.0,0.4666666666666667,1,1.4052343891498713
166501-15,12500000,7922500.0,12522248.0,10222374.0,0.22280793091702572,Pahalı,0.43,ilce_ici,Başakşehir,Kayabaşı,130.0,3,4,-1.0,14.0,-0.07142857142857142,1,1.3600801203398012
155767-33,20000000,13875000.0,19246696.0,16560848.0,0.2076676266819187,Pahalı,0.46,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,177.0,4,11,2.0,3.0,0.6666666666666666,1,1.2772075600387194
147401-27,13500000,7625000.0,13090605.0,10357802.5,0.3033652649777788,Pahalı,0.53,ilce_ici,Başakşehir,Başakşehir,140.0,4,3,6.0,10.0,0.6,1,1.113021908541684
122038-12,7750000,7217500.0,7916904.5,7567202.25,0.024156583101766573,Adil fiyat,0.61,ilce_ici,Başakşehir,Kayabaşı,118.0,4,11,2.0,12.0,0.16666666666666666,1,0.9146526146326506
132292-1378,4485000,8775000.0,4557760.5,6666380.25,-0.3272210957363256,Ucuz / Fırsat,0.13,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,140.0,4,5,8.0,12.0,0.6666666666666666,0,2.049396197925516
166006-1,12250000,8225000.0,12800416.0,10512708.0,0.16525637352430983,Adil fiyat,0.26,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,200.0,5,26,5.0,6.0,0.8333333333333334,1,1.7614247652431643
139971-67,14550000,11000000.0,14067734.0,12533867.0,0.1608548263676326,Adil fiyat,0.44,ilce_ici,Başakşehir,Başakşehir,196.0,4,11,10.0,11.0,0.9090909090909091,1,1.3359780660988063
167240-5,12000000,10750000.0,10691660.0,10720830.0,0.11931632159077235,Adil fiyat,0.54,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,124.0,3,0,2.0,4.0,0.5,1,1.0923337093378742
109158-3781,23500000,10625000.0,21551824.0,16088412.0,0.46067865492256166,Pahalı,0.12,ilce_ici,Başakşehir,Ziya Gökalp,216.0,4,6,2.0,30.0,0.06666666666666667,1,2.0888617031908328
88886-529,4350000,5475000.0,4518580.0,4996790.0,-0.12944110118696203,Adil fiyat,0.5,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,66.0,2,11,15.0,18.0,0.8333333333333334,1,1.1767131426104895
167448-4,25000000,19750000.0,25248400.0,22499200.0,0.11115061868866448,Adil fiyat,0.27,ilce_ici,Başakşehir,Kayabaşı,234.0,6,4,5.0,11.0,0.45454545454545453,1,1.7265115346976287
65819-1133,6200000,6475000.0,6159743.5,6317371.75,-0.018579205822421327,Adil fiyat,0.34,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,100.0,3,21,7.0,7.0,1.0,1,1.5701634611875144
